,Source,Author,Title,URL,date,content,full_text
10,Fox News,Hanna Panreck,MSNBC host boldly says DeSantis 'even money' to beat frontrunner Trump for 2024 nomination: 'More competent',https://www.foxnews.com/media/msnbc-host-boldly-says-desantis-even-money-beat-frontrunner-trump-2024-nomination-more-competent,2023-05-30T16:41:06Z,"MSNBC host Joe Scarborough said Tuesday that Gov. Ron DeSantis, R-Fla., was an ""even money"" front-runner for the Republican nomination and declared he could beat Donald Trump because he is ""more comp… [+2887 chars]","MSNBC host Joe Scarborough said Tuesday that Gov. Ron DeSantis, R-Fla., was an ""even money"" front-runner for the Republican nomination and declared he could beat Donald Trump because he is ""more competent."""
11,Fox News,Paul Steinhauser,"2024 showdown: Trump, DeSantis battle for votes in the crucial lead off state of Iowa",https://www.foxnews.com/politics/2024-showdown-trump-desantis-battle-votes-crucial-lead-off-state-iowa,2023-05-30T16:13:14Z,"Former President Donald Trump and Florida Gov. Ron DeSantis will make competing visits to Iowa this week as the 2024 GOP presidential primary heats up.
DeSantis returns to Iowa for the first time as… [+4967 chars]",Former President Donald Trump and Florida Gov. Ron DeSantis will make competing visits to Iowa this week as the 2024 GOP presidential primary heats up.
12,Fox News,Houston Keene,Nancy Mace blasts GOP for getting fleeced on debt ceiling deal by a president 'who can’t find his pants',https://www.foxnews.com/politics/nancy-mace-blasts-gop-getting-fleeced-debt-ceiling-deal-president-who-cant-find-his-pants,2023-05-30T16:43:37Z,"South Carolina GOP Rep. Nancy Mace
 announced on Tuesday that she is a ""no"" vote on the debt ceiling deal, writing that ""Republicans got outsmarted by a President who cant find his pants.""
Mace pos… [+5603 chars]","South Carolina GOP Rep. Nancy Mace announced on Tuesday that she is a ""no"" vote on the debt ceiling deal, writing that ""Republicans got outsmarted by a President who can’t find his pants."""
13,Fox News,Danielle Wallace,Kevin McCarthy's debt ceiling deal advances to key committee in first test of GOP support,https://www.foxnews.com/politics/kevin-mccarthys-debt-ceiling-deal-advances-key-committee-first-test-gop-support,2023-05-30T12:44:26Z,"Republican House Speaker Kevin McCarthys debt ceiling bill is advancing to a key committee Tuesday in its first test of GOP support. 
The House Rules Committee is scheduled to convene at 3 p.m., and… [+4381 chars]",Republican House Speaker Kevin McCarthy’s debt ceiling bill is advancing to a key committee Tuesday in its first test of GOP support. 
14,Fox News,Brooke Singman,"Tim Scott bill requires app stores to show country of origin, would stick ‘Made in China’ label on TikTok",https://www.foxnews.com/politics/tim-scott-bill-app-stores-country-origin-stick-made-in-china-label-tiktok,2023-05-30T11:00:04Z,EXCLUSIVE: Sen. Tim Scott is rolling out legislation that would require app stores to display the country where apps are developed and owned before users download them amid worries some of the most p… [+5635 chars],EXCLUSIVE: Sen. Tim Scott is rolling out legislation that would require app stores to display the country where apps are developed and owned before users download them amid worries some of the most popular apps in America were developed in China.
15,Fox News,Danielle Wallace,Canada's top spy agency warns Hong Kong-born lawmaker she is on China's ‘evergreen’ target list,https://www.foxnews.com/world/canadas-top-spy-agency-warns-hong-kong-born-lawmaker-chinas-evergreen-target-list,2023-05-30T15:32:58Z,"Canadian Member of Parliament Jenny Kwan, who was born in Hong Kong, told reporters Monday that the Canadian Security Intelligence Service (CSIS) informed her during a classified briefing Friday that… [+4340 chars]","Canadian Member of Parliament Jenny Kwan, who was born in Hong Kong, told reporters Monday that the Canadian Security Intelligence Service (CSIS) informed her during a classified briefing Friday that she is and will forever remain an ""evergreen"" target of the Chinese government in Beijing. "
16,Fox News,Anders Hagstrom,Trump vows to end birthright citizenship for children of illegal immigrants,https://www.foxnews.com/politics/trump-vows-end-birthright-citizenship-children-illegal-immigrants,2023-05-30T16:18:06Z,"Former President Trump will attempt to end birthright citizenship for illegal immigrants if he wins re-election in 2024, he announced Tuesday.
Trump said he would sign an executive order to that eff… [+2226 chars]","Former President Trump will attempt to end birthright citizenship for illegal immigrants if he wins re-election in 2024, he announced Tuesday."
17,Fox News,Brian Flood,"CNN hemorrhaging viewers since irking liberals with Trump town hall, hits several recent lows",https://www.foxnews.com/media/cnn-hemorrhaging-viewers-since-irking-liberals-trump-town-hall-hits-several-recent-lows,2023-05-30T18:58:45Z,"Since CNNs town hall event with former President Trump earlier this month, the struggling network has hit several embarrassing recent lows since the polarizing event as viewers continue to bolt. 
Tr… [+3843 chars]","Since CNN’s town hall event with former President Trump earlier this month, the struggling network has hit several embarrassing recent lows since the polarizing event as viewers continue to bolt. "
18,Fox News,Fox News Staff,"Multiple victims in Memorial Day beach shooting, graduation speech backlash and more top headlines",https://www.foxnews.com/us/florida-memorial-day-beach-shooting-graduation-speech-backlash-and-more-top-headlines,2023-05-30T10:38:19Z,"Good morning and welcome to Fox News morning newsletter, Fox News First. Subscribe now to get Fox News First in your email. And here's what you need to know to start your day ...
HOLIDAY HORROR - Mu… [+2891 chars]","HOLIDAY HORROR - Multiple people, including children, injured in Memorial Day shooting at beach boardwalk in Florida. Continue reading …"
19,Fox News,Fox News Staff,"Republicans win on debt ceiling, kicking cancel culture to the curb and more Fox News Opinion",https://www.foxnews.com/opinion/republicans-win-debt-ceiling-kicking-cancel-culture-curb,2023-05-30T15:36:16Z,"Welcome to the Fox News Opinion Newsletter. To receive this newsletter in your email, subscribe here.
JESSE WATTERS The U.S. has now traded excellence for diversity, equity and inclusionContinue wat… [+1789 chars]","JESSE WATTERS – The U.S. has now ‘traded excellence’ for diversity, equity and inclusion… Continue watching… "
20,Fox News,Patrick Hauf,Freedom Caucus members call on McCarthy to scrap debt ceiling agreement with Biden: ‘Bad deal’,https://www.foxnews.com/politics/freedom-caucus-members-mccarthy-scrap-debt-ceiling-agreement-biden-bad-deal,2023-05-30T18:28:36Z,"House Freedom Caucus members on Tuesday said they would oppose the debt ceiling agreement reached by President Biden House Speaker Kevin McCarthy, and called on McCarthy to scrap the weekend deal to … [+2414 chars]","House Freedom Caucus members on Tuesday said they would oppose the debt ceiling agreement reached by President Biden House Speaker Kevin McCarthy, and called on McCarthy to scrap the weekend deal to work on something that would more aggressively cut back on government spending."
21,Fox News,Tim Busch,"Bud Light, Target, haven't the Dodgers learned anything? As a sports team owner, I know better",https://www.foxnews.com/opinion/bud-light-target-havent-dodgers-learned-anything-sports-team-owner-know-better,2023-05-30T06:00:16Z,"Will the Los Angeles Dodgers ever be the same? 
I doubt it. One of the most-storied sports brands in history is reeling. Its the result of managements foolish decision to invite an anti-Catholic hat… [+4015 chars]",Will the Los Angeles Dodgers ever be the same? 
22,Fox News,Danielle Tuntigian,SEN. JONI ERNST AND SEN. JEANNE SHAHEEN TO PARTICIPATE IN FORUM LIVE ON FOX NATION FROM EDWARD M. KENNEDY INSTITUTE,https://press.foxnews.com/2023/05/sen-joni-ernst-and-sen-jeanne-shaheen-to-participate-in-forum-live-on-fox-nation-from-edward-m-kennedy-institute,2023-05-30T17:07:24Z,"BOSTON  May 30, 2023  The third installment of The Senate Project series will feature Senators Joni Ernst (R-IA) and Jeanne Shaheen (D-NH) in a forum moderated by FOX News Channels (FNC) chief politi… [+7001 chars]",
23,Fox News,Hanna Panreck,'View' host Sunny Hostin belittles GOP White women voters as tools of their husbands: 'They do fall in line',https://www.foxnews.com/media/view-host-sunny-hostin-belittles-gop-white-women-voters-tools-their-husbands-fall-line,2023-05-30T17:28:57Z,"""The View"" co-host Sunny Hostin said Tuesday that ""White women want to protect this patriarchy"" because it ""benefits them"" while discussing Republican women who continue to support former President T… [+3330 chars]",
24,Fox News,Emma Colton,"Johns Hopkins Medicine staff given roadmap to navigate dozens of pronouns: ‘faerself, ve, xe""",https://www.foxnews.com/us/johns-hopkins-medicine-staff-given-roadmap-navigate-dozens-pronouns-faerself-ve-xe,2023-05-30T11:05:34Z,"Employees at Johns Hopkins Medicine in Maryland were given a new pronoun usage guide that lists dozens of pronouns include ""aerself"" and ""faerself"" while staffers navigate a recent inclusive ID polic… [+4161 chars]",
25,Fox News,Elizabeth Elkind,Jayapal says debt ceiling deal shows GOP doesn’t care about deficits: ‘No meaningful deficit reduction’,https://www.foxnews.com/politics/jayapal-debt-ceiling-deal-gop-deficits-no-deficit-reduction,2023-05-30T20:29:46Z,"Congressional Progressive Caucus Chair Pramila Jayapal, D-Wash., dismissed House Republicans victory lap on the new debt limit bill on Tuesday, telling reporters that there was ""no meaningful debt re… [+2437 chars]",
26,Fox News,Adam Sabes,Shannon Brandt pleads guilty to manslaughter in death of North Dakota teen,https://www.foxnews.com/us/shannon-brandt-pleads-guilty-manslaughter-charge-death-north-dakota-teen,2023-05-30T19:23:30Z,"Shannon Brandt pleaded guilty to manslaughter in the death of 18-year-old Cayler Ellingson after prosecutors reduced a murder charge in the September 2022 incident.
Brandt, 42, ran over Ellingson wi… [+4173 chars]",
27,Fox News,Elizabeth Elkind,GOP leaders tout McCarthy-Biden deal as ‘conservative’ victory as Republicans defect,https://www.foxnews.com/politics/gop-leaders-tout-mccarthy-biden-deal-conservative-victory-republicans-defect,2023-05-30T13:29:03Z,"House Republican leaders are touting the deal between House Speaker Kevin McCarthy and President Biden as a conservative victory, even as many of the most conservative Republicans in the House are sa… [+3715 chars]",
28,Fox News,Markwayne Mullin,Biden's radical green energy policies strain our electric grids. Here's how bad it will get if they continue,https://www.foxnews.com/opinion/bidens-radical-green-energy-policies-strain-electric-grids,2023-05-30T12:00:04Z,"The Biden administrations overreaching energy regulation is sacrificing Americans ability to run their businesses and power their homes.
Democrats Green New Deal (GND) policies have left America dep… [+4992 chars]",
29,Fox News,Gabriel Hays,Rock singer curses out DeSantis supporters during show: 'You're f---ing dead to me',https://www.foxnews.com/media/rock-singer-curses-out-desantis-supporters-show-youre-f-dead-me,2023-05-30T16:18:56Z,"""Paramore"" lead singer Hayley Williams savaged her political opponents during a performance over the weekend, telling any potential Gov. Ron DeSantis, R-Fla., voters in the crowd ""youre f------ dead … [+2459 chars]",
30,Fox News,Landon Mion,Minnesota Gov. Walz expected to sign bill legalizing recreational marijuana,https://www.foxnews.com/politics/minnesota-governor-expected-sign-bill-legalizing-recreational-marijuana,2023-05-30T10:20:05Z,"Minnesota Gov. Tim Walz, a Democrat, is expected to sign legislation on Tuesday that would legalize recreational marijuana in the state.
The bill is headed to the governor's desk after passing throu… [+1705 chars]",
31,Fox News,Associated Press,Bolivian prosecutor launches probe into mysterious death of bank trustee amid disputed suicide claims,https://www.foxnews.com/us/bolivian-prosecutor-launches-probe-mysterious-death-bank-trustee-amid-disputed-suicide-claims,2023-05-30T16:57:07Z,<ul><li>Bolivia is launching a probe into the suspicious death of a bankrupt bank trustee who fell from a building amidst disputed suicide claims.</li><li>The trustee's role in liquidating the bank a… [+3668 chars],
32,Fox News,Newt Gingrich,Corrupt media protects corrupt establishment and nary a Woodward or Bernstein in sight,https://www.foxnews.com/opinion/corrupt-media-protects-corrupt-establishment-nary-woodward-bernstein-sight,2023-05-30T10:00:05Z,"The conspiracy between a corrupt set of bureaucracies (including the Justice Department, the IRS and the intelligence community) and an equally corrupt and enabling elite media is astonishing. The Du… [+5883 chars]",
33,Fox News,Chris Pandolfo,Texas Gov Greg Abbott to sign bill taking on 'rogue' district attorneys,https://www.foxnews.com/politics/texas-gov-greg-abbott-sign-bill-taking-rogue-district-attorneys,2023-05-30T15:46:36Z,"Texas is about to crack down on ""rogue"" district attorneys who refuse to prosecute entire classes of crime, like abortion or drug-related offenses. 
Gov. Greg Abbott said Monday he will sign House B… [+3177 chars]",
34,Fox News,Associated Press,"Most US adults believe race should play a role in college admissions process, according to AP poll",https://www.foxnews.com/us/most-us-adults-believe-race-play-roll-college-admissions-process-according-new-poll,2023-05-30T11:06:59Z,"As the Supreme Court decides the fate of affirmative action, most U.S. adults say the court should allow colleges to consider race as part of the admissions process, yet few believe students race sho… [+6598 chars]",
35,Fox News,Elizabeth Elkind,"Manchin praises debt ceiling deal, predicts passage despite GOP, Dem defections",https://www.foxnews.com/politics/manchin-praises-debt-ceiling-deal-predicts-passage-gop-dem-defections,2023-05-30T17:26:30Z,"Sen. Joe Manchin, D-W.Va., said Tuesday he ""absolutely"" believes the debt ceiling deal struck by President Biden and House Speaker Kevin McCarthy, R-Calif., will pass with bipartisan support, even th… [+2925 chars]",
36,Fox News,Lawrence Richard,"Texas legislature's first special session focusing on border security, cutting property taxes, Abbott reveals",https://www.foxnews.com/politics/texas-legislatures-first-special-session-focusing-border-security-cutting-property-taxes-abbott-reveals,2023-05-30T06:00:33Z,Texas Gov. Greg Abbott revealed agenda items for the state legislature's first special session late Monday evening a list that includes cutting property taxes and providing funds to secure the U.S.-M… [+2386 chars],
37,Fox News,Brianna Herlihy,"Debt deal with Biden a 'betrayal' that could cost McCarthy speakership, House Freedom Caucus member says",https://www.foxnews.com/politics/debt-deal-biden-betrayal-that-could-cost-mccarthy-speakership-house-freedom-caucus-member-says,2023-05-30T17:51:11Z,"Rep. Chip Roy, R-Texas, a key member the House Freedom Caucus (HFC), indicated Tuesday that if Republicans do not stop the debt deal in committee, that he would consider ousting Kevin McCarthy from l… [+2153 chars]",
38,Fox News,Hanna Panreck,Biden team using 'public staging' to boost Kamala Harris ahead of 2024: Report,https://www.foxnews.com/media/biden-team-using-public-staging-boost-kamala-harris-ahead-2024-report,2023-05-30T20:03:19Z,"President Biden and the White House are reportedly publicly ""staging"" Vice President Kamala Harris alongside the president in an effort to bolster Harris heading into the 2024 election. 
The report … [+2329 chars]",
39,Fox News,"Sen. Chuck Grassley, Bill Cassidy",Biden's student loan handout: Senate should just say no. Here's why,https://www.foxnews.com/opinion/bidens-student-loan-handout-senate-should-just-say-no,2023-05-30T14:00:20Z,"The quickly approaching debt limit gives Congress and the White House an important opportunity to reset and put our fiscal house in order. Unfortunately, President Biden has made it clear he is more … [+3333 chars]",
40,Fox News,Fox News Staff,Biden called out for absence since 2024 campaign launch: 'Basement strategy' won't work this time,https://www.foxnews.com/media/biden-called-absence-2024-campaign-launch-basement-strategy-work-time,2023-05-30T20:00:33Z,"Fox News contributor Kellyanne Conway accused Biden of having a ""no-show presidency,"" warning his ""basement strategy"" won't prevail in 2024 as he endures dismal polling. Conway slammed Biden during ""… [+3350 chars]",
41,Fox News,Thomas Catenacci,White House kills another top Biden nominee amid mounting opposition,https://www.foxnews.com/politics/white-house-kills-another-top-biden-nominee-amid-mounting-opposition,2023-05-30T21:46:01Z,"The White House unexpectedly withdrew President Biden's nomination of Ann Carlson to lead a Department of Transportation safety subagency late on Tuesday.
In a surprise release, the White House said… [+4472 chars]",
42,Fox News,Brandon Gillespie,"Where do moderate Democrats, Republicans stand on the debt ceiling deal as pivotal votes loom?",https://www.foxnews.com/politics/where-moderate-democrats-republicans-stand-debt-ceiling-deal-pivotal-votes-loom,2023-05-30T22:00:44Z,"As the debt deal reached between President Biden and House Speaker Kevin McCarthy heads to Congress this week to face votes in the House and Senate, the spotlight has shifted to which lawmakers plan … [+5390 chars]",
43,Fox News,Caitlin McFall,China fuels anti-NATO sentiment alongside Russia in support of ethnic Serbs fighting in Kosovo,https://www.foxnews.com/world/china-fuels-anti-nato-sentiment-alongside-russia-in-support-of-ethnic-serbs-fighting-in-kosovo,2023-05-30T16:06:22Z,China on Tuesday threw its weight alongside Russia behind ethnic Serbs clashing in Kosovo after fighting broke out in protest to regional elections and dozens of NATO peace keeping forces were injure… [+4899 chars],
44,Fox News,"Bret Baier, Amy Munneke",'Special Report' Spotlight: Private companies increasing footprint in space,https://www.foxnews.com/media/special-report-spotlight-private-companies-increasing-footprint-space,2023-05-30T23:01:07Z,"Adversaries like Russia and China are increasing their assets in space. As the U.S. looks to counter these threats, its turning to the private sector for assistance.
""Right now, we have a lot of pri… [+7715 chars]",
45,Fox News,Gregg Jarrett,Free speech rights survived epic challenge from man who tried to monkey with them in 'Trial of the Century',https://www.foxnews.com/opinion/free-speech-rights-survived-epic-challenge-man-tried-money-trial-of-the-century,2023-05-30T08:00:46Z,"This essay is adapted from Gregg Jarretts new book, ""The Trial of the Century.""    
I was barely a teenager when, one summer day, I plucked a single volume off my fathers densely packed bookshelf. T… [+8804 chars]",
46,MSNBC,Steve Benen,Biden (literally) laughs off question about possible Trump pardon,https://www.msnbc.com/rachel-maddow-show/maddowblog/biden-literally-laughs-question-possible-trump-pardon-rcna86783,2023-05-30T13:28:41Z,"President Joe Biden held a brief Q&amp;A with reporters on the White House South Lawn yesterday afternoon, culminating in a question that the Democrat probably wasnt expecting.
Did you see that Ron … [+3037 chars]",
47,MSNBC,Ani Bundel,"The incredible, final twist that will define 'Succession'",https://www.msnbc.com/opinion/msnbc-opinion/ending-succession-explained-shiv-roy-lost-rcna86524,2023-05-30T10:00:00Z,"The critically acclaimed Succession has been comparedto HBOs other major hit, Game of Thrones. And to be fair, both shows revolve around the heirs of a patriarchal family structure fighting for domin… [+5353 chars]",The 'Succession' finale was a triumph — and a tragedyHow Sunday night’s tragic ending added an extra twist. 
48,MSNBC,Jarvis DeBerry,Why Joe Biden's struggle with Black voters still isn't good news for Donald Trump,https://www.msnbc.com/opinion/msnbc-opinion/black-voters-biden-trump-rcna86253,2023-05-30T10:00:00Z,"The Black vote is the soil that every Democrat needs for a candidacy to blossom into a presidency. Joe Biden won 92% of the Black vote in 2020, and he needs a similarly large share of that vote if he… [+5573 chars]","Why Joe Biden's struggle with Black voters still isn't good news for Donald TrumpBlack voters may not have a strong appreciation for the president, but they have a strong animosity for his most likely opponent."
49,MSNBC,Steve Benen,Why Ron DeSantis’ newest fundraising controversy matters,https://www.msnbc.com/rachel-maddow-show/maddowblog/ron-desantis-newest-fundraising-controversy-matters-rcna86817,2023-05-30T15:27:05Z,"For all intents and purposes, Gov. Ron DeSantis has spent months positioning himself for a presidential campaign. Watching the Florida Republican travel the nation, hire staff, and line up allies, hi… [+3840 chars]",
50,MSNBC,Steve Benen,"Texas’ GOP-led House impeaches Paxton, ignores Trump and Cruz",https://www.msnbc.com/rachel-maddow-show/maddowblog/texas-gop-led-house-impeaches-paxton-ignores-trump-cruz-rcna86773,2023-05-30T12:40:18Z,"For Texas Attorney General Ken Paxton, the tipping point wasnt his indictment over alleged securities fraud. Or the state bar investigation. Or the evidence that he weaponized his office.
Rather, wh… [+3228 chars]",
51,MSNBC,Jordan Rubin,DeSantis out-dumbs Trump on 'law and order' with criminal justice reform claim,https://www.msnbc.com/deadline-white-house/deadline-legal-blog/desantis-trump-first-step-act-jailbreak-rcna86830,2023-05-30T21:00:53Z,"Common sense tells us a criminal justice reform bill passed by a bipartisan Congress and signed into law by a Republican president can't reasonably be called a ""jailbreak bill."" 
Yet thats how Ron D… [+2278 chars]",
52,MSNBC,Steve Benen,Indiana doctor is fined and reprimanded over 10-year-old's abortion,https://www.msnbc.com/rachel-maddow-show/maddowblog/indiana-doctor-fined-reprimanded-10-year-olds-abortion-case-rcna86856,2023-05-30T17:18:15Z,"Dr. Caitlin Bernard might not have a household name, but the Indiana physician generated national headlines last summer when she came to the aid of a 10-year-old rape victim who needed an abortion. A… [+2845 chars]",
53,MSNBC,Steve Benen,"Striking a debt ceiling deal is one thing, passing it is another",https://www.msnbc.com/rachel-maddow-show/maddowblog/striking-debt-ceiling-deal-one-thing-passing-another-rcna86762,2023-05-30T12:00:30Z,Was it easy? No. Was it part of a dangerous hostage crisis that didnt have to happen? Yes. Should anyone fully exhale before the package is signed into law before the x-date deadline that is less tha… [+4545 chars],
54,MSNBC,Hayes Brown,Biden and Cruz both say they hate this anti-LGBT law,https://www.msnbc.com/opinion/msnbc-opinion/ted-cruz-surprisingly-called-ugandas-anti-lgbtq-law-rcna86825,2023-05-30T22:48:05Z,"Sen. Ted Cruz, R-Texas, is wrong about many things. Oftentimes, he memorializes those terrible opinions on Twitter, where dunking on him has become a favored pastime among terminally online liberals.… [+4345 chars]",Ted Cruz cleared the lowest bar possible for LGBTQ rightsHis tweet condemning Uganda's new Anti-Homosexuality Act is on point — but it doesn't negate his anti-trans rights record.
55,MSNBC,Steve Benen,Tuberville’s comments on inner-city teachers adds to an ugly pattern,https://www.msnbc.com/rachel-maddow-show/maddowblog/tubervilles-comments-inner-city-teachers-adds-ugly-pattern-rcna86807,2023-05-30T15:43:18Z,"Its not uncommon for Republican officials to treat schoolteachers as villains, but its less common to hear U.S. senators suggest that certain educators are lazy and possibly illiterate.
Sen. Tommy T… [+2516 chars]",
